rainy season (in Japan usu. from early June to mid-July)/rain during the rainy season,梅雨/梅雨/黴雨/黴雨/つゆ
few/a little,少ない/少い/尠い/寡い/すくない
tedium/boredom,退屈/怠屈/たいくつ
luxury/extravagance,贅沢/ぜいたく
to pass (of time)/to elapse,経つ/たつ
celeb/celebrity,セレブ/セレブ
low dining table/tea table,ちゃぶ台/卓袱台/チャブ台/ちゃぶだい
to notice/to recognize,気づく/気付く/きづく
to calm down/to compose oneself,落ち着く/落ちつく/落着く/落ち付く/落付く/おちつく
health/healthy,健康/けんこう
to be included/to be composed of,含まれる/ふくまれる
effect/effectiveness,効果/こうか
sensation/feeling,気味/気味/きみ
to tidy up/to put in order,片付ける/片づける/かたづける
singer,歌手/かしゅ
end-of-year,年末/ねんまつ
porcupine,山荒/山荒らし/豪猪/山嵐/やまあらし
New Year's Eve/end of the year,年越し/年越/としこし
circumstances/condition,都合/つごう
national/nationwide,国民的/こくみんてき
common sense/general knowledge,一般常識/いっぱんじょうしき
daughter,娘さん/むすめさん
painful/heartrending,切ない/せつない
perhaps/maybe,もしかし/もしかし
to get a crick in one's neck (while sleeping),寝違える/ねちがえる
star (usu. not including the Sun)/planet (usu. not including Earth),星/ほし
musketeer,銃士/じゅうし
facsimile edition/reprint,復刻版/覆刻版/複刻版/復刻板/ふっこくばん
wife/your wife,奥さん/おくさん
successful bid/winning a tender,落札/らくさつ
plastic model,プラモデル/プラモデル
trouble/bother,迷惑/めいわく
belly/abdomen,お腹/御腹/お中/御中/おなか
word-chain game,尻取り/尻取/しりとり
joint party (e.g. by students from several colleges)/combined party,合コン/ごうコン
petting zoo,ふれあい動物園/触れ合い動物園/ふれあいどうぶつえん
number/edition,号/號/ごう
convulsion/cramp,痙攣/痙れん/けいれん
caretaker (at a zoo or aquarium)/keeper,飼育員/しいくいん
hurriedly/in haste,急いで/いそいで
anyhow/in any case,どうせ/どうせ
promptly/immediately,さっさ/さっさ
tidying up/finishing,片付け/片づけ/かたづけ
painful/bitter,辛い/つらい
really/truly,全く/まったく
sympathy/empathy,共感/きょうかん
trip/excursion,遠出/とおで
to look at/to gaze at,眺める/ながめる
scenery/scene,風景/ふうけい
while/during,乍ら/ながら
walking about town/stroll around town,街歩き/町歩き/まちあるき
sound of bubbles (or other small objects) being popped/lumpy sensation (e.g. of food),ぷちぷち/ぷちぷち
intently/single-mindedly,只管/一向/頓/ひたすら
to smash/to crush,潰す/つぶす
schedule/program,予定表/よていひょう
hard worker/hardworking person,働き者/はたらきもの
soon/shortly,間もなく/間も無く/まもなく
this store,当店/とうてん
once/one time,一度/１度/一度/１度/一たび/ひと度/一とたび/いちど
urgent/pressing,至急/しきゅう
