bamboo (any grass of subfamily Bambusoideae)/middle (of a three-tier ranking system),竹/たけ
bamboo grass/generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.),笹/篠/小竹/ささ
assortment (of food)/assorted dishes,盛り合わせ/盛合せ/盛り合せ/盛合わせ/もりあわせ
walnut,胡桃/くるみ
stuffing a shopping container for a fixed price,詰め放題/つめ放題/詰放題/つめほうだい
Hokkaido squirrel (subspecies of red squirrel),蝦夷栗鼠/えぞりす
(fighting) spirit/motivation,気合/気合い/きあい
stuffing/packing,詰め/詰め/詰/詰/つめ
gently/quietly,おっとり/おっとり
capitalist society,資本主義社会/しほんしゅぎしゃかい
to live through/to survive,生き抜く/生きぬく/いきぬく
to grow long (e.g. hair - nails)/to lengthen,伸ばす/延ばす/のばす
to break/to be smashed,割れる/破れる/われる
just before/on the verge of,寸前/すんぜん
limit/bound,限界/げんかい
just barely/only just,限り限り/ぎりぎり
tear/rip,破れ/破れ/やぶれ
ascertainment,見極め/みきわめ
essential/important,肝心/肝腎/かんじん
to stuff into/to jam,詰める/つめる
indifferent/unconcerned,無頓着/無頓着/むとんちゃく
surface of a wall,壁面/へきめん
to attack/to assault,攻める/せめる
minute/fine,緻密/ちみつ
calculation/reckoning,計算/けいさん
crevice/crack,隙間/すき間/透き間/透間/隙き間/すきま
profit/advantage,得/とく
furthermore/again,更に/さらに
pursuit (of a goal - ideal - etc.)/search,追求/ついきゅう
of all people,とした事が/としたことが
to make a mistake,抜かる/ぬかる
victory or defeat/match,勝負/しょうぶ
too many/too much,余計/よけい
negligence/carelessness,油断/ゆだん
past/after,過ぎ/すぎ
stubbornness/obstinacy,意地/いじ
uncomplimentary remarks/slander,悪言/悪言/あくげん
thanks for taking care of me/thanks for taking care of my loved one,お世話様/お世話さま/御世話様/御世話さま/おせわさま
weave/weaving,織り/織/おり
confirmation/verification,確認/かくにん
order/rank,順位/じゅんい
basics/fundamentals,基本/きほん
indicates position in a sequence,番目/番め/ばんめ
beginning/outset,最初/さいしょ
surplus/margin,余裕/よゆう
useless/no future in it,意味がない/意味が無い/いみがない
way of life/how to live,生き方/いきかた
battlefield/battleground,戦場/戦場/せんじょう
knack/skill,骨/こつ
heap/pile,山盛り/山盛/やまもり
three/three years of age,三つ/三つ/３つ/３つ/みっつ
four/four years of age,四つ/四つ/４つ/４つ/よっつ
exercise/physical training,運動/うんどう
if so/in that case,すれば/すれば
elegant/refined,上品/じょうひん
both hands/both arms,両手/りょうて
disadvantage/handicap,不利/ふり
cheek pouch,頬袋/頬嚢/ほおぶくろ
to amass/to accumulate,溜める/ためる
Japanese macaque,日本猿/にほんざる
to elevate/to raise,持ち上げる/持上げる/もちあげる
black tea,紅茶/こうちゃ
extra cost/extra charge,別料金/べつりょうきん
price/value,価格/かかく
tax,税/ぜい
very/greatly,余程/よほど
to get tired of/to lose interest in,飽きる/厭きる/倦きる/倦る/あきる
light meal/Snack,軽食/けいしょく
confections/sweets,お菓子/御菓子/おかし
to taste/to savor,味わう/あじわう
improper way (of doing)/wrong way,邪道/じゃどう
to think/to consider,思う/想う/念う/憶う/懐う/惟う/おもう
unthinkable/absurd,とんでも無い/飛んでもない/とんでもない
space/room,空間/くうかん
death in battle/death on the battlefield,討ち死に/討死/討死に/うちじに
sense of accomplishment,達成感/たっせいかん
to become numb/to go to sleep (e.g. a limb),痺れる/しびれる
fullness/completion,充実/じゅうじつ
even if I say so myself/for me (to do such a thing),我ながら/我乍ら/われながら
regular customer/regular patron,常連/定連/じょうれん
amiability/friendliness,愛想/愛想/あいそ
half the amount (of money)/half price,半額/はんがく
I'm sorry/(it's) inexcusable,申し訳ありません/申しわけありません/もうしわけありません
elbowroom/leeway,ゆとり/ゆとり
place/location,場所/ばしょ
district of a town/city block (of irregular size),丁目/ちょうめ
fame/reputation,評判/ひょうばん
certainly/without fail,是非/ぜひ
going together,ご一緒/御一緒/ごいっしょ
price/cost,値段/直段/ねだん
natural/right,当然/当前/とうぜん
to hide/to be hidden,隠れる/匿れる/かくれる
travel/trip,旅/たび
as it is/as one likes,儘/儘/侭/侭/まま
everything one owns,全財産/ぜんざいさん
window/Window,窓/窗/牖/まど
to be silent/to say nothing,黙る/だまる
