trouble/troubles,悩み/なやみ
counseling room/counselling room,相談室/そうだんしつ
long spell of rain,雨続き/雨続き/あめつづき
depression/melancholy,憂鬱/憂うつ/憂欝/悒鬱/幽鬱/幽欝/悒欝/ゆううつ
lateness/tardiness,遅刻/ちこく
senior (at work or school)/superior,先輩/せんぱい
old person/elderly person,年寄り/年寄/年より/としより
feeling refreshed/feeling relieved,さっぱり/さっぱり
caretaker (at a zoo or aquarium)/keeper,飼育員/しいくいん
day and night/around the clock,日夜/にちや
looking after/help,世話/せわ
special skill,特技/とくぎ
cooking/cookery,料理/りょうり
fashion/trend,流行/りゅうこう
man who makes his own lunch to take to work,弁当男子/べんとうだんし
by the way/in this connection,因みに/因に/ちなみに
to attach/to join,付ける/着ける/附ける/つける
excuse/explanation,言い訳/言いわけ/言訳/言い分け/言分け/いいわけ
sharing an umbrella/under one umbrella,相合傘/相合い傘/相相傘/相々傘/あいあいがさ
little-known good place/good out-of-the-way place,穴場/あなば
master/expert,達人/たつじん
looking after/help,世話/せわ
feature (e.g. newspaper)/special edition,特集/特輯/とくしゅう
to be truant/to slack off,サボる/サボる
if possible,出来れば/できれば
competition/rivalry,張り合い/張合い/はりあい
people with a pure and innocent image (esp. actresses - singers - etc.),清純派/せいじゅんは
aroma/fragrance,香り/薫り/馨り/香/薫/かおり
to turn away/to bear off,逸れる/それる
love of animals/animal loving,動物好き/どうぶつすき
wedded life/married life,結婚生活/けっこんせいかつ
love/love-making,恋愛/れんあい
being twice divorced/two-time divorcee,バツ２/バツ二/罰二/バツに
correction/revision,訂正/ていせい
(fictional) character/character,キャラ/キャラ
anyhow/anyway,兎も角/ともかく
leader of a group of juvenile delinquents,番長/ばんちょう
bride,お嫁さん/およめさん
approximate age/apparent age,年頃/年ごろ/としごろ
keep up your strength/chin up!,元気出して/げんきだして
merit/virtue,良さ/よさ
surely/undoubtedly,屹度/急度/きっと
loss of spirit/dejection,阻喪/沮喪/そそう
just one person/only one,たった一人/たった１人/たった独り/たったひとり
fate/destiny,運命/うんめい
to be lucky/to be in luck,付いてる/付いている/ついてる
to put on weight/to gain weight,太る/肥る/ふとる
handshake/reconciliation,握手/あくしゅ
hated person/disliked person,嫌われ者/嫌われもの/きらわれもの
discourtesy/impoliteness,失礼/失礼/失礼/しつれい
the other day/lately,この間/この間/此の間/此の間/このあいだ
party/social event,コンパ/コンパ
moderate,程々/程ほど/程程/ほどほど
to borrow/to have a loan,借りる/かりる
carrying (on one's person or in the hand)/mobile phone,携帯/けいたい
to deliver/to forward,届ける/屆ける/とどける
raincoat/Cape,合羽/合羽/カッパ
under custody/under supervision,預かり/預り/あずかり
to cloud/to make dim or dull,曇らせる/くもらせる
waking,目覚め/目ざめ/目醒め/めざめ
falling into a doze/dozing off,うとうと/うとうと
shop manager,店長/てんちょう
to get wet,濡れる/濡る/ぬれる
vivid/bright,鮮やか/鮮か/彩やか/あざやか
compromise/giving in,妥協/だきょう
broadcasting station/broadcaster,放送局/ほうそうきょく
