news coverage/collecting data (e.g. for an article),取材/しゅざい
parallel parking,縦列駐車/じゅうれつちゅうしゃ
speaking of/(I told you) already,てば/てば
invitation/introduction,誘い/誘い/さそい
consultation/discussion,相談/そうだん
who,何方/どなた
monthly publication/monthly issue,月刊/げっかん
editor-in-chief,編集長/へんしゅうちょう
acquaintance/friend,知る人/しるひと
hiding place/hideout,隠れ家/かくれ家/隠れ処/隠処/隠れ家/かくれ家/かくれが
to discover/to find (e.g. an error in a book),見つける/見付ける/見附ける/見附る/見付ける/見附ける/見附る/みつける
sharp (blade)/pointed,鋭い/するどい
folding fan/Hand fan,扇子/せんす
to support/to prop,支える/ささえる
to reach/to touch,届く/とどく
first of all/at once,取りあえず/取り敢えず/取敢えず/とりあえず
your letter,貴札/きさつ
details/particulars,経緯/経緯/経緯/経緯/いきさつ
painstaking piece of work/work of great effort,力作/力作/りきさく
printing/Printing,印刷/いんさつ
police/police officer,警察/けいさつ
examination of tickets/ticket gate,改札/かいさつ
feeble joke/bad pun,駄洒落/駄じゃれ/駄酒落/だじゃれ
greeting/greetings,挨拶/あいさつ
to cover (with something)/to put on (e.g. on someone else's head),被せる/かぶせる
triumph/prosperity,得意/とくい
this time/now,今回/こんかい
big hit/big prize,大当たり/大当り/おおあたり
to change/to alter,改める/検める/革める/あらためる
cannot help (doing - etc.)/cannot resist,ならない/ならない
Hudson Bay/Hudson Bay,ハドソン湾/ハドソンわん
snow storm/blizzard,吹雪/乱吹/ふぶき
to lose sight of (one's companions)/to stray from,逸れる/はぐれる
figure/form,姿/すがた
answer/reply,答え/答/応え/報え/答え/応え/こたえ
to notice/to recognize,気づく/気付く/きづく
before very long/soon,その内/其の内/そのうち
ice/shaved ice (usually served with flavored simple syrup),氷/凍り/こおり
open sea,沖/澳/おき
small point/knob,ぼっち/ぼっち
drifting/drift,漂流/ひょうりゅう
for many days/for several days,何日も/なんにちも
finally/at last,遂に/終に/竟に/ついに
hunter/huntsman,猟師/りょうし
parents/both parents,両親/両親/りょうしん
to leave (in someone's keeping)/to put (in someone's care),預ける/あずける
dining room/dining hall,食堂/しょくどう
cooking/cookery,料理/りょうり
living/life (one's daily existence),生活/せいかつ
to be handed down/to be introduced,伝わる/つたわる
construction company,建設会社/けんせつがいしゃ
setting oneself free from the life of a white-collar worker/quitting a job as a salaryman and launching an independent business,脱サラ/脱サラ/だつサラ
fiction/made-up story,作り話/つくりばなし
truth/real situation,真相/しんそう
choice/preference,お好み/おこのみ
one's own house/own,自家/じか
vegetable garden,菜園/さいえん
to raise/to rear,育てる/そだてる
to miss/to overlook,見逃す/見のがす/見遁す/見逃がす/みのがす
obsession/fixation,拘り/こだわり
ingredient/foodstuff,食材/しょくざい
scenery/scene,景色/景色/けしき
good/fine,良好/りょうこう
guest seating (e.g. theater - stadium)/passenger seat (e.g. taxi),客席/きゃくせき
fullness/completion,充実/じゅうじつ
polish/refinement,洗練/洗煉/洗錬/せんれん
outward appearance/exterior appearance,外観/がいかん
introduction/presentation,紹介/しょうかい
ingredient/(raw) material,素材/そざい
choosing a site (e.g. for industry)/deciding on a location,立地/りっち
outstanding/excellent,抜群/抜群/ばつぐん
the rest/the others,その他/その他/その外/その外/其の他/其の他/其の外/其の外/そのほか
spring vegetables,春野菜/はるやさい
with trouble/at great pains,折角/せっかく
the other day/lately,この間/この間/此の間/此の間/このあいだ
to be photographed/to be projected,写る/うつる
